"last_name, first_name","player_id","year","home_run","walk","k_percent","b_intent_walk","avg_swing_speed","fast_swing_rate","launch_angle_avg","sweet_spot_percent","hard_hit_percent","whiff_percent"
"Henderson, Gunnar",683002,2024,37,78,22.1,"1","76.3",64.5,"9.2",34.5,53.9,24.4
"Arenado, Nolan",571448,2024,16,44,14.5,"2","70.7",12.8,"16.9",35.9,31.6,17.2
"Ortiz, Joey",687401,2024,11,56,20.2,"0","73.4",35.2,"9.9",26.6,38.4,17.1
"Goldschmidt, Paul",502671,2024,22,47,26.5,"2","72.5",24.3,"13.1",34.3,49.6,27.4
"Sánchez, Jesús",660821,2024,18,41,26.1,"2","75.2",54.4,"7.7",31.8,51.3,31.2
"Bleday, JJ",668709,2024,20,67,19.5,"2","71.7",16.5,"18.6",37.1,36.2,26.1
"Ozuna, Marcell",542303,2024,39,74,24.7,"2","74",42.5,"14.4",40.5,53.4,31.4
"Donovan, Brendan",680977,2024,14,47,12.4,"0","69.6",7.2,"13.2",36.6,37.6,15.1
"Seager, Corey",608369,2024,30,53,18,"11","72.3",20.9,"13.5",38.6,50.7,23.4
"Bell, Josh",605137,2024,19,51,19.9,"1","70.4",15,"10.5",31.4,40.1,26.8
"Giménez, Andrés",665926,2024,9,26,15.3,"1","68.3",6.9,"8.7",32.7,28.5,22.8
"Turner, Justin",457759,2024,11,59,17.6,"2","65.1",0.8,"17.8",40.1,32.5,17
"Díaz, Yandy",650490,2024,14,50,15.3,"0","73.3",34.4,"5",28.4,48.7,14.2
"Bregman, Alex",608324,2024,26,44,13.6,"1","71.3",11.9,"18.2",34.9,40.5,12.8
"Santana, Carlos",467793,2024,23,65,16.7,"3","71.8",19.4,"16.1",30.9,39.9,23.3
"Benintendi, Andrew",643217,2024,20,41,18.4,"1","68",1,"16.1",36.5,34.4,21.1
"Tovar, Ezequiel",678662,2024,26,23,28.8,"1","71.3",18.9,"18.9",38.5,39.8,33.5
"Turner, Trea",607208,2024,21,27,18.2,"0","71.6",17.1,"11.5",30.9,40.7,26.1
"Schwarber, Kyle",656941,2024,38,106,28.5,"4","77.5",78,"15",31.8,55.5,32
"Arraez, Luis",650333,2024,4,24,4.3,"3","63.1",0.2,"13.7",40.9,23.7,6.9
"Adames, Willy",642715,2024,32,74,25.1,"3","73.6",33.2,"20.6",38.2,40.7,29.5
"Varsho, Daulton",662139,2024,18,48,26.7,"1","73.7",34.4,"24.4",30.2,34,27
"Meyers, Jake",676694,2024,13,35,22.8,"0","68.6",7.9,"14.4",34.8,37,27
"Rodgers, Brendan",663898,2024,13,31,24.5,"1","71.7",25.2,"4.9",33.1,44.1,25.9
"Paredes, Isaac",670623,2024,19,76,16.4,"2","68.2",4.8,"22.4",37,27.1,17.2
"Verdugo, Alex",657077,2024,13,49,15,"0","68.3",7.5,"9.9",31.6,34.9,15.5
"Vaughn, Andrew",683734,2024,19,38,21.3,"0","70.8",12,"16.6",33.6,43.3,22
"Arozarena, Randy",668227,2024,20,73,26.1,"0","72.7",33.4,"13.2",28.4,43.5,29.7
"Morel, Christopher",666624,2024,21,61,26,"3","76.1",64.7,"14.2",27.6,40.4,34.1
"Vierling, Matt",663837,2024,16,41,21.3,"1","71.1",11.8,"11.7",34.1,40.9,19.5
"Chourio, Jackson",694192,2024,21,39,21.1,"4","73.2",34,"7.6",33.2,44.9,27.1
"Gurriel Jr., Lourdes",666971,2024,18,29,18.3,"1","70.6",9.5,"15.7",33.8,40,20.2
"Contreras, William",661388,2024,23,78,20.5,"5","74.7",50.4,"6.1",29,49.5,27.8
"Cruz, Oneil",665833,2024,21,51,30.2,"5","78.6",75.6,"9.8",32.1,54.9,34.1
"Turang, Brice",668930,2024,7,50,17,"1","66.2",3.4,"6.1",32,29.7,13.8
"Devers, Rafael",646240,2024,28,67,24.5,"14","72.5",27.9,"11.6",35.2,52.6,30.9
"Swanson, Dansby",621020,2024,16,54,24.3,"2","71.7",12.8,"10.4",32.6,42.7,28.7
"Rooker Jr., Brent",667670,2024,39,59,28.8,"4","73.7",37.2,"18.9",38.3,49.6,34.1
"Ward, Taylor",621493,2024,25,63,24.6,"0","69.8",8.4,"17.4",41.9,42.4,25.5
"Torres, Gleyber",650402,2024,15,65,20.5,"0","70.1",9,"15",38.2,35.4,22.9
"Alonso, Pete",624413,2024,34,70,24.7,"4","75.2",51.8,"14.4",30.5,46.4,24.7
